,Name,Yrs_College,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SOS
0,Jeff Hornacek,4,Iowa State,Big 8,33,37.2,5.4,11.2,.478,,,,,,,2.9,3.8,.776,3.8,6.6,1.9,0.2,2.4,2.8,13.7,10.69
0,Michael Jackson,4,Georgetown,Big East,32,29.6,4.1,8.1,.500,,,,,,,2.4,3.0,.811,2.0,6.3,1.3,0.1,2.8,2.5,10.5,6.78
0,Forrest McKenzie,4,Loyola Marymount,WCAC,29,34.8,8.8,17.4,.508,,,,,,,2.4,3.0,.826,7.8,2.0,1.1,0.3,2.4,2.7,20.1,-1.58
0,Kevin Henderson,3,Cal State Fullerton,PCAA,21,27.4,6.0,11.3,.525,,,,,,,4.0,4.9,.816,1.9,4.0,1.1,0.0,2.6,2.7,15.9,1.74
0,Mike Williams,5,Bradley,MVC,35,30.4,5.7,9.3,.610,,,,,,,2.6,4.7,.561,7.1,0.9,0.7,1.0,2.4,3.1,14.0,2.58
0,Ricky Wilson,4,George Mason,CAA,32,32.8,5.6,11.6,.482,,,,,,,3.9,5.7,.687,3.1,3.8,1.1,0.2,2.7,2.4,15.1,-0.22
0,Tod Murphy,4,UC-Irvine,PCAA,30,37.2,7.0,12.6,.558,7.0,12.6,.557,0.0,0.0,1.000,6.1,8.1,.746,7.2,2.1,0.9,0.4,2.6,3.0,20.1,2.57
0,Dwayne Polee,5,Pepperdine,WCAC,30,31.5,6.0,11.1,.538,,,,,,,3.8,5.1,.750,2.8,4.2,1.5,0.3,2.9,2.8,15.7,-0.79
0,Kenny Gattison,4,Old Dominion,Sun Belt,31,32.5,7.0,11.0,.637,,,,,,,3.3,4.9,.673,7.8,1.0,1.0,1.6,2.5,2.9,17.4,5.48
0,Bruce Douglas,4,Illinois,Big Ten,32,33.4,3.7,7.8,.476,,,,,,,1.5,1.9,.783,2.8,6.2,2.8,0.3,1.7,2.1,8.8,9.44
0,Dave Henderson,4,Duke,ACC,39,27.9,5.6,10.7,.518,,,,,,,3.1,4.1,.744,4.8,2.4,1.3,0.1,,,14.2,9.50
0,John Shasky,4,Minnesota,Big Ten,30,35.6,5.8,11.1,.524,,,,,,,3.4,5.1,.664,7.0,0.7,0.5,1.9,1.5,2.7,15.0,10.34
0,Dave Hoppen,4,Nebraska,Big 8,19,35.2,7.9,12.9,.616,,,,,,,6.2,7.7,.803,7.7,1.6,0.7,0.6,1.8,2.9,22.1,8.92
0,Anthony Bowie,2,Oklahoma,Big 8,35,33.4,5.8,11.5,.502,,,,,,,1.8,2.2,.808,4.6,4.7,1.6,0.5,2.2,2.8,13.3,8.49
0,Ron Rowan,5,St. John's (NY),Big East,36,37.8,5.9,11.2,.525,,,,,,,2.4,2.8,.871,2.8,4.4,1.1,0.1,2.3,2.1,14.2,6.26
0,Andre Turner,4,Memphis,Metro,34,33.4,5.8,12.1,.478,,,,,,,2.4,2.8,.854,2.0,7.7,2.6,0.1,3.1,2.3,13.9,5.48
0,Jim Les,5,Bradley,MVC,35,36.5,5.7,11.7,.485,,,,,,,2.9,3.9,.756,3.4,7.9,1.5,0.1,2.7,2.5,14.2,2.58
0,Scott Meents,4,Illinois,Big Ten,32,15.8,2.4,4.6,.520,,,,,,,0.8,0.9,.800,2.8,1.4,0.5,0.7,1.4,1.8,5.6,9.44
0,Grant Gondrezick,4,Pepperdine,WCAC,30,22.3,4.8,8.6,.560,,,,,,,3.7,4.4,.842,3.7,2.7,0.6,0.0,1.4,2.2,13.3,-0.79
0,Myron Jackson,4,Little Rock,TAAC,34,33.1,8.3,18.2,.453,,,,,,,2.9,3.8,.767,4.0,2.1,1.1,0.1,2.1,2.8,19.4,-4.89
0,Conner Henry,4,UCSB,PCAA,27,36.3,6.0,13.7,.436,,,,,,,3.9,4.9,.789,4.9,,0.9,0.2,2.7,2.9,17.3,2.21
0,Richard Rellford,4,Michigan,Big Ten,33,23.7,4.5,7.5,.598,,,,,,,2.7,3.4,.796,4.7,0.5,0.7,0.3,1.4,2.6,11.8,9.55
0,Clinton Smith,4,Cleveland State,Mid-Cont,33,25.6,6.8,12.1,.565,,,,,,,2.5,3.7,.659,5.2,1.7,1.8,0.2,1.7,1.4,16.2,-2.48
0,Dominic Pressley,4,Boston College,Big East,27,32.8,4.9,9.7,.500,,,,,,,2.5,3.4,.731,3.4,2.7,1.9,0.3,2.5,3.5,12.2,7.05
